,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
115,0,0.001,50,0.01,SA,0.478279177,0.476829796,10.28504515
116,0,0.001,50,0.001,BFGS,0.779375143,0.785044031,22.50115705
117,0,0.001,50,0.001,SA,0.478279177,0.476829796,10.49760294
118,0,0.001,50,0.0001,BFGS,0.779375143,0.785044031,23.28907514
119,0,0.001,50,0.0001,SA,0.478279177,0.476829796,9.600385904
120,0,0.0001,10,1,BFGS,0.696979175,0.709349887,8.497389078
121,0,0.0001,10,1,SA,0.478279177,0.476829796,2.204510689
122,0,0.0001,10,0.1,BFGS,0.696979175,0.709349887,8.391245604
123,0,0.0001,10,0.1,SA,0.478279177,0.476829796,2.397025108
124,0,0.0001,10,0.01,BFGS,0.696979175,0.709349887,8.388970613
125,0,0.0001,10,0.01,SA,0.478279177,0.476829796,1.796279669
126,0,0.0001,10,0.001,BFGS,0.696979175,0.709349887,8.294049263
127,0,0.0001,10,0.001,SA,0.478279177,0.476829796,2.196911097
128,0,0.0001,10,0.0001,BFGS,0.696979175,0.709349887,8.100488901
129,0,0.0001,10,0.0001,SA,0.478279177,0.476829796,2.297972202
130,0,0.0001,20,1,BFGS,0.752619612,0.758481305,12.3056469
131,0,0.0001,20,1,SA,0.478279177,0.476829796,4.104876041
132,0,0.0001,20,0.1,BFGS,0.752619612,0.758481305,11.60307336
133,0,0.0001,20,0.1,SA,0.478279177,0.476829796,4.004967213
134,0,0.0001,20,0.01,BFGS,0.752619612,0.758481305,12.20587587
135,0,0.0001,20,0.01,SA,0.478279177,0.476829796,3.703926563
136,0,0.0001,20,0.001,BFGS,0.752619612,0.758481305,11.79645181
137,0,0.0001,20,0.001,SA,0.478279177,0.476829796,4.507501841
138,0,0.0001,20,0.0001,BFGS,0.752619612,0.758481305,12.7025435
139,0,0.0001,20,0.0001,SA,0.478279177,0.476829796,4.207155943
140,0,0.0001,50,1,BFGS,0.779375143,0.785044031,22.7971282
141,0,0.0001,50,1,SA,0.478279177,0.476829796,10.89006877
142,0,0.0001,50,0.1,BFGS,0.779375143,0.785044031,23.29074574
143,0,0.0001,50,0.1,SA,0.478279177,0.476829796,9.895492554
144,0,0.0001,50,0.01,BFGS,0.779375143,0.785044031,22.79384375
145,0,0.0001,50,0.01,SA,0.478279177,0.476829796,10.10431504
146,0,0.0001,50,0.001,BFGS,0.779375143,0.785044031,21.09823489
147,0,0.0001,50,0.001,SA,0.478279177,0.476829796,9.993921041
148,0,0.0001,50,0.0001,BFGS,0.779375143,0.785044031,23.10419083
