,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
276,1,0.0001,10,0.001,BFGS,0.478315268,0.477070401,2.799943209
277,1,0.0001,10,0.001,SA,0.474212913,0.472498917,2.207324743
278,1,0.0001,10,0.0001,BFGS,0.478255116,0.4759155,2.606259346
279,1,0.0001,10,0.0001,SA,0.476390409,0.472932005,2.498057604
280,1,0.0001,20,1,BFGS,0.449466453,0.451566335,15.39833379
281,1,0.0001,20,1,SA,0.376153411,0.377941389,4.394111395
282,1,0.0001,20,0.1,BFGS,0.477894205,0.47649295,13.79105496
283,1,0.0001,20,0.1,SA,0.433105157,0.433713488,4.997629404
284,1,0.0001,20,0.01,BFGS,0.474200883,0.474135027,18.09114194
285,1,0.0001,20,0.01,SA,0.469003766,0.469756027,4.508340597
286,1,0.0001,20,0.001,BFGS,0.478315268,0.477070401,2.602172136
287,1,0.0001,20,0.001,SA,0.474176822,0.472450796,4.602369547
288,1,0.0001,20,0.0001,BFGS,0.478255116,0.4759155,2.308051348
289,1,0.0001,20,0.0001,SA,0.476270106,0.472980126,4.30407548
290,1,0.0001,50,1,BFGS,0.449466453,0.451566335,15.88785458
291,1,0.0001,50,1,SA,0.375888743,0.377652663,11.90437651
292,1,0.0001,50,0.1,BFGS,0.477894205,0.47649295,13.9007504
293,1,0.0001,50,0.1,SA,0.431613392,0.432510466,10.99092245
294,1,0.0001,50,0.01,BFGS,0.474200883,0.474135027,18.39081073
295,1,0.0001,50,0.01,SA,0.469316555,0.469996632,10.60114956
296,1,0.0001,50,0.001,BFGS,0.478315268,0.477070401,2.10174346
297,1,0.0001,50,0.001,SA,0.474212913,0.472498917,11.295367
298,1,0.0001,50,0.0001,BFGS,0.478255116,0.4759155,2.399668455
299,1,0.0001,50,0.0001,SA,0.476306197,0.472932005,11.29149103
300,2,1,10,1,BFGS,0.478279177,0.476829796,20.90064144
301,2,1,10,1,SA,0.462459247,0.463067225,2.406791449
302,2,1,10,0.1,BFGS,0.478219025,0.476733555,2.607314825
303,2,1,10,0.1,SA,0.478243086,0.476781676,2.705574036
304,2,1,10,0.01,BFGS,0.478182934,0.476300467,2.491874695
305,2,1,10,0.01,SA,0.478267146,0.476300467,2.4976964
306,2,1,10,0.001,BFGS,0.478291207,0.476107983,2.596291304
307,2,1,10,0.001,SA,0.478303237,0.476204225,2.505584717
308,2,1,10,0.0001,BFGS,0.478219025,0.476156104,2.591805696
309,2,1,10,0.0001,SA,0.478339328,0.476252346,2.593118906
310,2,1,20,1,BFGS,0.478279177,0.476829796,20.59459543
311,2,1,20,1,SA,0.462182549,0.462441653,5.589573383
312,2,1,20,0.1,BFGS,0.478219025,0.476733555,2.41113925
313,2,1,20,0.1,SA,0.478279177,0.476781676,5.198776007
314,2,1,20,0.01,BFGS,0.478182934,0.476300467,2.597998857
315,2,1,20,0.01,SA,0.478243086,0.47649295,5.006527662
316,2,1,20,0.001,BFGS,0.478291207,0.476107983,2.691696167
317,2,1,20,0.001,SA,0.478339328,0.476396709,5.091931105
318,2,1,20,0.0001,BFGS,0.478219025,0.476156104,2.696388483
319,2,1,20,0.0001,SA,0.478423541,0.476444829,4.999620199
320,2,1,50,1,BFGS,0.478279177,0.476829796,20.89906645
321,2,1,50,1,SA,0.46256752,0.462441653,13.20229292
322,2,1,50,0.1,BFGS,0.478219025,0.476733555,2.29843235
323,2,1,50,0.1,SA,0.478291207,0.476781676,12.30462456
324,2,1,50,0.01,BFGS,0.478182934,0.476300467,2.309858561
325,2,1,50,0.01,SA,0.478279177,0.47649295,12.68250775
326,2,1,50,0.001,BFGS,0.478291207,0.476107983,2.599006414
327,2,1,50,0.001,SA,0.47837542,0.476348588,12.6007843
328,2,1,50,0.0001,BFGS,0.478219025,0.476156104,2.402684689
329,2,1,50,0.0001,SA,0.478411511,0.476444829,11.0988996
330,2,0.1,10,1,BFGS,0.478279177,0.476829796,21.30132699
331,2,0.1,10,1,SA,0.478411511,0.476541071,2.002353668
332,2,0.1,10,0.1,BFGS,0.478219025,0.476733555,2.402381659
333,2,0.1,10,0.1,SA,0.478014509,0.475626774,2.90249896
334,2,0.1,10,0.01,BFGS,0.478182934,0.476300467,2.392727613
335,2,0.1,10,0.01,SA,0.478471662,0.475145566,2.499577999
336,2,0.1,10,0.001,BFGS,0.478291207,0.476107983,2.595528126
337,2,0.1,10,0.001,SA,0.47838745,0.475289928,2.491983891
338,2,0.1,10,0.0001,BFGS,0.478219025,0.476156104,2.302374601
339,2,0.1,10,0.0001,SA,0.47838745,0.475193687,2.5012784
340,2,0.1,20,1,BFGS,0.478279177,0.476829796,21.0017333
341,2,0.1,20,1,SA,0.478279177,0.476829796,5.297195911
342,2,0.1,20,0.1,BFGS,0.478219025,0.476733555,2.606194496
343,2,0.1,20,0.1,SA,0.478170903,0.475867379,5.30729866
344,2,0.1,20,0.01,BFGS,0.478182934,0.476300467,2.298745871
345,2,0.1,20,0.01,SA,0.478760391,0.47649295,4.191389561
346,2,0.1,20,0.001,BFGS,0.478291207,0.476107983,2.397579908
347,2,0.1,20,0.001,SA,0.478808513,0.476829796,4.9987185
348,2,0.1,20,0.0001,BFGS,0.478219025,0.476156104,2.499612331
349,2,0.1,20,0.0001,SA,0.478784452,0.476781676,4.596174955
